S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which of these is used to pass array to a function?,By value,By reference,Both A and B,None,B
2,Which function is used to dynamically allocate memory?,malloc(),calloc(),Both A and B,alloc(),C
3,Which function is used to free dynamically allocated memory?,free(),delete(),dispose(),release(),A
4,Which keyword is used to define a pointer to function?,*,&,->,All of the above,A
5,Which operator is used to access members of structure via pointer?,.,->,*,&,B
6,Which function is used to compare two memory blocks?,memcmp(),strcmp(),memcomp(),compare(),A
7,Which function copies one memory block to another?,memcpy(),strcpy(),copy(),move(),A
8,Which function fills memory with a constant value?,memset(),fill(),setmem(),memfill(),A
9,Which operator is used for bitwise AND?,&,&&,|,||,A
10,Which operator is used for bitwise OR?,|,||,&,&&,A
11,Which operator is used for bitwise XOR?,^,&&,|,||,A
12,Which keyword is used to declare enum?,enum,class,struct,typedef,A
13,Which function is used to read binary data from file?,fread(),fscanf(),fgets(),read(),A
14,Which function is used to write binary data to file?,fwrite(),fprintf(),fputs(),write(),A
15,Which technique is used to implement recursion?,Function calling itself,Looping,Iteration,Both A and B,A
