S.No,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Which header file is required for mathematical functions?,cmath,iostream,cstdlib,string,A
2,Which function is used to find square root of a number?,sqrt(),square(),root(),pow(),A
3,Which function is used to find power of a number?,pow(),power(),exp(),sqrt(),A
4,Which function is used to convert string to integer?,stoi(),atoi(),str2int(),int(),B
5,Which function is used to convert integer to string?,to_string(),itoa(),int2str(),str(),A
6,Which function reads a line from input including spaces?,getline(),cin(),scanf(),readline(),A
7,Which data type is used to store large integer values?,long,long int,float,double,B
8,Which operator is used for pointer arithmetic?,*,&,->,+,C
9,Which operator is used to access structure/class members via pointer?,.,->,*,&,B
10,Which keyword is used to allocate memory dynamically?,new,alloc,malloc,calloc,A
11,Which keyword is used to deallocate memory?,delete,free,dispose,release,A
12,Which function can compare two strings?,compare(),strcmp(),equals(),Both A and B,D
13,Which function concatenates two strings?,append(),strcat(),join(),concat(),A
14,Which function copies string from source to destination?,copy(),strcpy(),strncpy(),Both B and C,D
15,Which function calculates string length?,length(),strlen(),size(),Both A and C,D
16,Which operator is used for conditional expression?,?:,if,then,elseif,A
17,Which keyword is used to terminate loop prematurely?,break,exit,continue,stop,A
18,Which keyword skips current iteration in loop?,continue,break,exit,pass,A
19,Which operator is used for bitwise AND?,&,&&,|,||,A
20,Which operator is used for bitwise OR?,|,||,&,&&,A
21,Which operator is used for bitwise XOR?,^,&&,|,||,A
22,Which operator is used for left shift?,<<,>>,<,>,A
23,Which operator is used for right shift?,>>,<<,<,>,A
24,Which function is used to open a file?,fstream.open(),fopen(),openFile(),fileOpen(),A
25,Which function is used to close a file?,fstream.close(),fclose(),closeFile(),endFile(),A
26,Which function is used to read from a file?,read(),fread(),fstream.read(),Both B and C,D
27,Which function is used to write to a file?,write(),fwrite(),fstream.write(),Both A and C,D
28,Which function checks for end of file?,eof(),feof(),isEOF(),endOfFile(),A
29,Which function moves file pointer to a specific location?,seekp(),fseek(),seek(),setpos(),A
30,Which function returns current file pointer position?,tellp(),ftell(),pos(),filepos(),A
31,Which operator is used to access array elements?,[],(),{},<>,A
32,Which of these is a preprocessor directive?,#define,#include,#ifdef,All of the above,D
33,Which keyword is used to create macro?,#define,#macro,#const,#macrodef,A
34,Which function generates pseudo-random numbers?,rand(),random(),pseudo(),srand(),A
35,Which function is used to set seed for random numbers?,srand(),rand(),seed(),setrand(),A
36,Which operator is used for scope resolution?,::,.,->,&,A
37,Which operator is used for member access?,.,->,*,&,A
38,Which keyword is used to inherit a class?,extends,inherits,public,implements,C
39,Which operator is used to define reference variable?,&,*,ref,reference,A
40,Which keyword is used to define constant pointer?,const,static,final,define,A
